Category,Class,Key words
Theme,Temps de travail,Travail à temps partiel
Theme,Temps de travail,Interruption de carrière
Theme,Temps de travail,Crédit-temps / diminution de carrière
Theme,Temps de travail,Emploi fin de carrière
Theme,Temps de travail,Petit chômage
Theme,Temps de travail,Congé pour raisons impérieuses
Theme,Temps de travail,Congé parental
Theme,Temps de travail,Congé pour des raisons personnelles
Theme,Recrutement et formation,Recrutement
Theme,Recrutement et formation,Formation (formation syndicale non compris)
Theme,Recrutement et formation,Formation pour les jeunes
Theme,Recrutement et formation,Chômage économique des employés
Theme,Mesures pour l'emploi et groupes cibles,Mesures pour des entreprises en difficulté/ restructuration-pas de rcc
Theme,Mesures pour l'emploi et groupes cibles,Indemnité de licenciement cas lic. collectif ou fermeture/prime départ
Theme,Mesures pour l'emploi et groupes cibles,"Travailleurs âgés: congé,supplément ou prime d'ancienneté/prime départ"
Theme,Mesures pour l'emploi et groupes cibles,Travailleurs âgés: jours fin carriere et congé en fonction de l'âge
Theme,Mesures pour l'emploi et groupes cibles,Travailleurs âgés: emploi fin de carrière
Theme,Mesures pour l'emploi et groupes cibles,Travailleurs âgés: suppléments liés à l'âge
Theme,Mesures pour l'emploi et groupes cibles,Travailleurs âgés: mesures pour l'emploi
Theme,Mesures pour l'emploi et groupes cibles,Groupes à risque
Theme,"Sécurité, santé et bien-être",Maribel social
Theme,"Sécurité, santé et bien-être",Sécurité au travail
Theme,"Sécurité, santé et bien-être",Bien-être au travail
Theme,"Sécurité, santé et bien-être",Discrimination
Theme,"Sécurité, santé et bien-être",Maladie / accident / décès
Theme,Fin au contrat de travail et chômage,Chômage économique des employés
Theme,Fin au contrat de travail et chômage,Chômage (autre que le chômage économique des employés)
Theme,Fin au contrat de travail et chômage,Prépension
Theme,Fin au contrat de travail et chômage,Régime de chômage avec complément d’entreprise (rcc)
Theme,Fin au contrat de travail et chômage,Préavis / licenciement- organisation et procédure
Theme,Fin au contrat de travail et chômage,Préavis / licenciement - indemnités
Theme,Fin au contrat de travail et chômage,Préavis / licenciement - mesures pour l'emploi
Theme,Représentation et prime syndicale,Licenciement travailleurs protégés
Theme,Représentation et prime syndicale,Délégation syndicale
Theme,Représentation et prime syndicale,Formation syndicale
Theme,Représentation et prime syndicale,Prime syndicale
Theme,Fonds sociaux,Fonds de sécurité d'existence
Theme,Fonds sociaux,"Fonds social, autre que fonds securité d'existence"
Theme,Fonctionnement au sein du comité/de l'entreprise,Fonctionnement en sein de la commission paritaire
Theme,Fonctionnement au sein du comité/de l'entreprise,Règlement de travail
Theme,Fonctionnement au sein du comité/de l'entreprise,"Organes de concertation conventionnel (autre que la ds, ce, cppt)"
Theme,Fonctionnement au sein du comité/de l'entreprise,Délégation syndicale
Theme,Fonctionnement au sein du comité/de l'entreprise,Conseil d'entreprise
Theme,Fonctionnement au sein du comité/de l'entreprise,Comité pour la prévention et la protection au travail
Theme,Fonctionnement au sein du comité/de l'entreprise,Cct particulière en cas de modification de la compténce d'une cp
Theme,Fonctionnement au sein du comité/de l'entreprise,Paix sociale - clause
Theme,"Sujets divers: transfert du personnel, harmonisation, détachement",Transfert du personnel vers une autre entreprise
Theme,"Sujets divers: transfert du personnel, harmonisation, détachement",Harmonisation statuts ouvriers - employés
Theme,"Sujets divers: transfert du personnel, harmonisation, détachement",Détachement
